Title,Price (in $),Difficulty,Subject Category,Provider,Course Language,Course Length (in Days)
Internal Medicine Comprehensive Review and Update 2026,1495,advanced,health & science,Harvard Medical School,English,0
AI Strategy for Business Leaders: From Hype to Impact ,3200,intermediate,business & management,Harvard DCE Professional & Executive Development,English,0
Negotiation and Leadership,5497,intermediate,business & management,Harvard Law School,English,0
AI for Leaders,1850,intermediate,business & management,Harvard Business School,English,0
Making Corporate Boards More Effective,13000,advanced,business & management,Harvard Business School,English,7
The Health Effects of Climate Change,0,beginner,health & science,Harvard T.H. Chan School of Public Health,English,49
Data Science: Capstone,0,beginner,data science & stem,Harvard T.H. Chan School of Public Health,English,14
Credential of Digital Innovation and Strategy,6500,advanced,business & management,Harvard Business School,English,0
Women in Dentistry: Clinical Excellence and Leadership Summit,3000,advanced,health & science,Harvard School of Dental Medicine,English,0
"Future Library Design: Enduring Principles, Contemporary Processes, & Emerging Possibilities",2190,advanced,business & management,Harvard Graduate School of Design,English,7
Agile Leadership: Transforming Mindsets and Capabilities in Your Organization,4200,intermediate,business & management,Harvard DCE Professional & Executive Development,English,0
Leveraging Multi-sided Platforms with AI for Business Leaders,1570,intermediate,Business & Management,Harvard DCE Professional & Executive Development,English,0
The Sensitive Gut,30,beginner,Health & Science,Harvard Medical School,English,14
Persuasive Leadership: Advanced Storytelling and Investor Pitching in the Age of AI,1750,beginner,Business & Management,Harvard Graduate School of Design,English,0
Business Analytics,1850,intermediate,Business & Management,Harvard Business School,English,56
